dir_up,dir_down,dir_left,dir_right,danger_straight,danger_left,danger_right,dx_food,dy_food,action
0,0,1,0,0,0,0,-0.325,0.0,0
0,0,1,0,0,0,0,-0.3,0.0,0
0,0,1,0,0,0,0,-0.275,0.0,0
0,0,1,0,0,0,0,-0.25,0.0,0
0,0,1,0,0,0,0,-0.225,0.0,0
0,0,1,0,0,0,0,-0.2,0.0,0
0,0,1,0,0,0,0,-0.175,0.0,0
0,0,1,0,0,0,0,-0.15,0.0,0
0,0,1,0,0,0,0,-0.125,0.0,0
0,0,1,0,0,0,0,-0.1,0.0,0
0,0,1,0,0,0,0,-0.075,0.0,0
0,0,1,0,0,0,0,-0.05,0.0,0
0,0,1,0,0,0,0,-0.025,0.0,0
0,0,1,0,0,0,0,-0.275,0.06896551724137931,0
0,0,1,0,0,0,0,-0.25,0.06896551724137931,0
0,0,1,0,0,0,0,-0.225,0.06896551724137931,0
0,0,1,0,0,0,0,-0.2,0.06896551724137931,0
0,0,1,0,0,0,0,-0.175,0.06896551724137931,0
0,0,1,0,0,0,0,-0.15,0.06896551724137931,0
0,0,1,0,0,0,0,-0.125,0.06896551724137931,0
0,0,1,0,0,0,0,-0.1,0.06896551724137931,0
0,0,1,0,0,0,0,-0.075,0.06896551724137931,0
0,0,1,0,0,0,0,-0.05,0.06896551724137931,0
0,0,1,0,0,0,0,-0.025,0.06896551724137931,0
0,0,1,0,0,0,0,0.0,0.06896551724137931,1
0,1,0,0,0,0,0,0.0,0.034482758620689655,0
0,1,0,0,0,0,0,0.85,-0.6551724137931034,1
0,0,0,1,0,0,0,0.825,-0.6551724137931034,0
0,0,0,1,0,0,0,0.8,-0.6551724137931034,0
0,0,0,1,0,0,0,0.775,-0.6551724137931034,0
0,0,0,1,0,0,0,0.75,-0.6551724137931034,0
0,0,0,1,0,0,0,0.725,-0.6551724137931034,0
0,0,0,1,0,0,0,0.7,-0.6551724137931034,0
0,0,0,1,0,0,0,0.675,-0.6551724137931034,0
0,0,0,1,0,0,0,0.65,-0.6551724137931034,0
0,0,0,1,0,0,0,0.625,-0.6551724137931034,1
1,0,0,0,0,0,0,0.625,-0.6206896551724138,0
1,0,0,0,0,0,0,0.625,-0.5862068965517241,0
1,0,0,0,0,0,0,0.625,-0.5517241379310345,0
1,0,0,0,0,0,0,0.625,-0.5172413793103449,0
1,0,0,0,0,0,0,0.625,-0.4827586206896552,0
1,0,0,0,0,0,0,0.625,-0.4482758620689655,0
1,0,0,0,0,0,0,0.625,-0.41379310344827586,0
1,0,0,0,0,0,0,0.625,-0.3793103448275862,0
1,0,0,0,0,0,0,0.625,-0.3448275862068966,0
1,0,0,0,0,0,0,0.625,-0.3103448275862069,0
1,0,0,0,0,0,0,0.625,-0.27586206896551724,0
1,0,0,0,0,0,0,0.625,-0.2413793103448276,0
1,0,0,0,0,0,0,0.625,-0.20689655172413793,0
1,0,0,0,0,0,0,0.625,-0.1724137931034483,0
1,0,0,0,0,0,0,0.625,-0.13793103448275862,0
1,0,0,0,0,0,0,0.625,-0.10344827586206896,0
1,0,0,0,0,0,0,0.625,-0.06896551724137931,0
1,0,0,0,0,0,0,0.625,-0.034482758620689655,0
1,0,0,0,0,0,0,0.625,0.0,2
0,0,0,1,0,0,0,0.6,0.0,0
0,0,0,1,0,0,0,0.575,0.0,0
0,0,0,1,0,0,0,0.55,0.0,0
0,0,0,1,0,0,0,0.525,0.0,0
0,0,0,1,0,0,0,0.5,0.0,0
0,0,0,1,0,0,0,0.475,0.0,0
0,0,0,1,0,0,0,0.45,0.0,0
0,0,0,1,0,0,0,0.425,0.0,0
0,0,0,1,0,0,0,0.4,0.0,0
0,0,0,1,0,0,0,0.375,0.0,0
0,0,0,1,0,0,0,0.35,0.0,0
0,0,0,1,0,0,0,0.325,0.0,0
0,0,0,1,0,0,0,0.3,0.0,0
0,0,0,1,0,0,0,0.275,0.0,0
0,0,0,1,0,0,0,0.25,0.0,0
0,0,0,1,0,0,0,0.225,0.0,0
0,0,0,1,0,0,0,0.2,0.0,0
0,0,0,1,0,0,0,0.175,0.0,0
0,0,0,1,0,0,0,0.15,0.0,0
0,0,0,1,0,0,0,0.125,0.0,0
0,0,0,1,0,0,0,0.1,0.0,0
0,0,0,1,0,0,0,0.075,0.0,0
0,0,0,1,0,0,0,0.05,0.0,0
0,0,0,1,0,0,0,0.025,0.0,0
0,0,0,1,0,0,0,-0.075,0.20689655172413793,2
0,1,0,0,0,0,0,-0.075,0.1724137931034483,0
0,1,0,0,0,0,0,-0.075,0.13793103448275862,0
0,1,0,0,0,0,0,-0.075,0.10344827586206896,0
0,1,0,0,0,0,0,-0.075,0.06896551724137931,0
0,1,0,0,0,0,0,-0.075,0.034482758620689655,0
0,1,0,0,0,0,0,-0.075,0.0,0
0,1,0,0,0,0,0,-0.075,-0.034482758620689655,2
0,0,1,0,0,0,0,-0.05,-0.034482758620689655,0
0,0,1,0,0,0,0,-0.025,-0.034482758620689655,0
0,0,1,0,0,0,0,0.0,-0.034482758620689655,2
1,0,0,0,0,0,0,-0.25,-0.13793103448275862,0
1,0,0,0,0,0,0,-0.25,-0.10344827586206896,0
1,0,0,0,0,0,0,-0.25,-0.06896551724137931,0
1,0,0,0,0,0,0,-0.25,-0.034482758620689655,1
0,0,1,0,0,0,0,-0.225,-0.034482758620689655,0
0,0,1,0,0,0,0,-0.2,-0.034482758620689655,0
0,0,1,0,0,0,0,-0.175,-0.034482758620689655,0
0,0,1,0,0,0,0,-0.15,-0.034482758620689655,2
1,0,0,0,0,0,0,-0.15,0.0,1
0,0,1,0,0,0,0,-0.125,0.0,0
0,0,1,0,0,0,0,-0.1,0.0,0
0,0,1,0,0,0,0,-0.075,0.0,0
0,0,1,0,0,0,0,-0.05,0.0,0
0,0,1,0,0,0,0,-0.025,0.0,0
0,0,1,0,0,0,0,-0.025,0.5517241379310345,0
0,0,1,0,0,0,0,0.0,0.5517241379310345,0
0,0,1,0,0,0,0,0.025,0.5517241379310345,0
0,0,1,0,0,0,0,0.05,0.5517241379310345,1
0,1,0,0,0,0,0,0.05,0.5172413793103449,0
0,1,0,0,0,0,0,0.05,0.4827586206896552,0
0,1,0,0,0,0,0,0.05,0.4482758620689655,0
0,1,0,0,0,0,0,0.05,0.41379310344827586,0
0,1,0,0,0,0,0,0.05,0.3793103448275862,0
0,1,0,0,0,0,0,0.05,0.3448275862068966,0
0,1,0,0,0,0,0,0.05,0.3103448275862069,0
0,1,0,0,0,0,0,0.05,0.27586206896551724,0
0,1,0,0,0,0,0,0.05,0.2413793103448276,0
0,1,0,0,0,0,0,0.05,0.20689655172413793,0
0,1,0,0,0,0,0,0.05,0.1724137931034483,0
0,1,0,0,0,0,0,0.05,0.13793103448275862,0
0,1,0,0,0,0,0,0.05,0.10344827586206896,0
0,1,0,0,0,0,0,0.05,0.06896551724137931,0
0,1,0,0,0,0,0,0.05,0.034482758620689655,0
0,1,0,0,0,0,0,0.05,0.0,1
0,0,0,1,0,0,0,0.025,0.0,0
0,0,0,1,0,0,0,-0.3,-0.4482758620689655,0
0,0,0,1,0,0,0,-0.325,-0.4482758620689655,0
0,0,0,1,0,0,0,-0.35,-0.4482758620689655,0
0,0,0,1,0,0,0,-0.375,-0.4482758620689655,0
0,0,0,1,0,0,0,-0.4,-0.4482758620689655,1
1,0,0,0,0,0,0,-0.4,-0.41379310344827586,1
0,0,1,0,0,1,0,-0.375,-0.41379310344827586,0
0,0,1,0,0,1,0,-0.35,-0.41379310344827586,0
0,0,1,0,0,1,0,-0.325,-0.41379310344827586,0
0,0,1,0,0,1,0,-0.3,-0.41379310344827586,2
1,0,0,0,0,0,0,-0.3,-0.3793103448275862,0
1,0,0,0,0,0,0,-0.3,-0.3448275862068966,0
1,0,0,0,0,0,0,-0.3,-0.3103448275862069,0
1,0,0,0,0,0,0,-0.3,-0.27586206896551724,0
1,0,0,0,0,0,0,-0.3,-0.2413793103448276,0
1,0,0,0,0,0,0,-0.3,-0.20689655172413793,1
0,0,1,0,0,0,0,-0.275,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.25,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.225,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.2,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.175,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.15,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.125,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.1,-0.20689655172413793,0
0,0,1,0,0,0,0,-0.075,-0.20689655172413793,0
